country,title,price
Argentina,Viña Cobos 2012 Volturno Marchiori Vineyard Cabernet Sauvignon (Perdriel),230.0
Armenia,Van Ardi 2015 Estate Bottled Kangoun (Armenia),14.0
Australia,Penfolds 2010 Grange Shiraz (South Australia),850.0
Austria,Kracher NV Zwischen den Seen Nummer 3 Kollektion L08A Rosenmuskateller (Austria),150.0
Bosnia and Herzegovina,Winery Čitluk 2007 Vranac Vranec (Mostar),13.0
Brazil,Miolo 2011 Lote 43 Merlot-Cabernet Sauvignon (Vale dos Vinhedos),45.0
Bulgaria,Bessa 2011 Grande Cuvée Red (Thracian Valley),55.0
Canada,Mission Hill 2011 Oculus Red (Okanagan Valley),120.0
Chile,Errazuriz 2010 Viñedo Chadwick Red (Maipo Valley),400.0
Croatia,Saints Hills 2009 Dinga Plavac Mali (Peljesac),65.0
Cyprus,Tsiakkas 2014 Xynisteri (Lemesos),21.0
Czech Republic,Stapleton & Springer 2007 Roucí Red (Moravia),45.0
England,Gusbourne Estate 2013 Brut Rosé Pinot Noir (England),80.0
France,Château Pétrus 2014  Pomerol,2500.0
Georgia,Telavi 2007 Satrapezo Saperavi (Kakheti),40.0
Germany,Robert Weil 2014 Kiedrich Gräfenberg Trockenbeerenauslese Riesling (Rheingau),775.0
Greece,Gerovassiliou 2007 Evangelo Red (Epanomi),79.0
Hungary,Royal Tokaji 2003 Essencia  (Tokaji),764.0
India,Sula 2011 Dindori Reserve Shiraz (Nashik),20.0
Israel,Golan Heights Winery 2003 Yarden Katzrin Kosher Red (Galilee),100.0
Italy,Mascarello Giuseppe e Figlio 2008 Cà d'Morissio Riserva  (Barolo),595.0
Lebanon,Ixsir 2011 El Red (Lebanon),75.0
Luxembourg,Poll-Fabaire NV Poll on Ice Crémant de Luxembourg Demi-Sec Sparkling (Moselle Luxembourgeoise),30.0
Macedonia,Stobi 2011 Veritas Vranec (Tikves),20.0
Mexico,Viñas de Garza 2008 Amado IV Red (Valle de Guadalupe),58.0
Moldova,Purcari 2014 Premium Musct Ottonel-Traminer Icewine White (Moldova),42.0
Morocco,Bernard Magrez 2014 Excelcio Syrah-Grenache (Guerrouane),40.0
New Zealand,Dry River 2013 Pinot Noir (Martinborough),120.0
Peru,Intipalka 2010 Valle del Sol No 1 Gran Reserva Red (Ica),68.0
Portugal,W. & J. Graham's NV 90-year Old Tawny  (Port),1000.0
Romania,VinArte 2002 Villa Zorilor Prince Matei Gran Riserva Merlot (Dealu Mare),100.0
Serbia,Budimir 2009 Sub Rosa Red (Župa),40.0
Slovakia,Château Bela 2008 Riesling (Muzla),16.0
Slovenia,Batič 2007 Valentino Sweet Red Merlot-Cabernet Franc (Vipavska Dolina),60.0
South Africa,De Toren 2014 Book 17 XVII Red (Stellenbosch),330.0
Spain,Marco Abella 2012 El Perer Carignan (Priorat),770.0
Switzerland,Gantenbein 2011 Pinot Noir (Switzerland),160.0
Turkey,Selendi 2010 Merlot (Aegean),120.0
US,Law 2013 Intrepid Syrah (Paso Robles),750.0
Ukraine,Marengo NV Brut Sparkling (Ukraine),10.0
Uruguay,Familia Deicas 2006 1st Cru d'Exception Tannat (Juanico),120.0
